Grand Prix,Driver,Car,Time,year
Brazil,Rene Arnoux,Renault,2:27.310,1980.0
South Africa,Rene Arnoux,Renault,1:13.150,1980.0
USA West,Nelson Piquet,Brabham Ford,1:19.830,1980.0
Belgium,Jacques Laffite,Ligier Ford,1:20.880,1980.0
Monaco,Carlos Reutemann,Williams Ford,1:27.418,1980.0
France,Alan  Jones,Williams Ford,1:41.450,1980.0
Great Britain,Didier Pironi,Ligier Ford,1:12.368,1980.0
Germany,Alan  Jones,Williams Ford,1:48.490,1980.0
Austria,Rene Arnoux,Renault,1:32.530,1980.0
Netherlands,Rene Arnoux,Renault,1:19.350,1980.0
Italy,Alan  Jones,Williams Ford,1:36.089,1980.0
Canada,Didier Pironi,Ligier Ford,1:28.769,1980.0
USA East,Alan  Jones,Williams Ford,1:34.068,1980.0
USA West,Alan  Jones,Williams Ford,1:20.901,1981.0
Brazil,Marc Surer,Ensign Ford,1:54.302,1981.0
Argentina,Nelson Piquet,Brabham Ford,1:45.287,1981.0
San Marino,Gilles Villeneuve,Ferrari,1:48.064,1981.0
Belgium,Carlos Reutemann,Williams Ford,1:23.300,1981.0
Monaco,Alan  Jones,Williams Ford,1:27.470,1981.0
Spain,Alan  Jones,Williams Ford,1:17.818,1981.0
France,Alain Prost,Renault,1:09.140,1981.0
Great Britain,Rene Arnoux,Renault,1:15.067,1981.0
Germany,Alan  Jones,Williams Ford,1:52.420,1981.0
Austria,Jacques Laffite,Ligier Matra,1:37.620,1981.0
Netherlands,Alan  Jones,Williams Ford,1:21.830,1981.0
Italy,Carlos Reutemann,Williams Ford,1:37.528,1981.0
Canada,John Watson,McLaren Ford,1:49.475,1981.0
Las Vegas,Didier Pironi,Ferrari,1:20.156,1981.0
South Africa,Alain Prost,Renault,1:08.278,1982.0
Brazil,Alain Prost,Renault,1:37.016,1982.0
USA West,Niki Lauda,McLaren Ford,1:30.831,1982.0
San Marino,Didier Pironi,Ferrari,1:35.036,1982.0
Belgium,John Watson,McLaren Ford,1:20.214,1982.0
Monaco,Riccardo Patrese,Brabham Ford,1:26.354,1982.0
Detroit,Alain Prost,Renault,1:50.438,1982.0
Canada,Didier Pironi,Ferrari,1:28.323,1982.0
Netherlands,Derek Warwick,Toleman Hart,1:19.780,1982.0
Great Britain,Brian Henton,Tyrrell Ford,1:13.028,1982.0
France,Riccardo Patrese,Brabham Ford,1:40.075,1982.0
Germany,Nelson Piquet,Brabham Ford,1:54.035,1982.0
Austria,Nelson Piquet,Brabham Ford,1:33.699,1982.0
Switzerland,Alain Prost,Renault,1:07.477,1982.0
Italy,Rene Arnoux,Renault,1:33.619,1982.0
Las Vegas,Michele Alboreto,Tyrrell Ford,1:19.639,1982.0
Brazil,Nelson Piquet,Brabham BMW,1:39.829,1983.0
USA West,Niki Lauda,McLaren TAG,1:28.330,1983.0
France,Alain Prost,Renault,1:42.695,1983.0
San Marino,Riccardo Patrese,Brabham BMW,1:34.437,1983.0
Monaco,Nelson Piquet,Brabham BMW,1:27.283,1983.0
Belgium,Andrea de Cesaris,Alfa Romeo,2:07.493,1983.0
Detroit,John Watson,McLaren TAG,1:47.668,1983.0
Canada,Patrick Tambay,Ferrari,1:30.851,1983.0
Great Britain,Alain Prost,Renault,1:14.212,1983.0
Germany,Rene Arnoux,Ferrari,1:53.938,1983.0
Austria,Alain Prost,Renault,1:33.961,1983.0
Netherlands,Rene Arnoux,Ferrari,1:19.863,1983.0
Italy,Nelson Piquet,Brabham BMW,1:34.431,1983.0
Europe,Nigel Mansell,Lotus Ford,1:14.342,1983.0
